dataset,metric,pandas,spark,abs_diff,match
EN_FR_15K_V1,kg1.n_entities,15000.0,15000.0,0.0,True
EN_FR_15K_V1,kg2.n_entities,15000.0,15000.0,0.0,True
EN_FR_15K_V1,kg1.n_relations,267.0,267.0,0.0,True
EN_FR_15K_V1,kg2.n_relations,210.0,210.0,0.0,True
EN_FR_15K_V1,kg1.n_attributes,307.0,307.0,0.0,True
EN_FR_15K_V1,kg2.n_attributes,403.0,403.0,0.0,True
EN_FR_15K_V1,kg1.n_literals,30281.0,30281.0,0.0,True
EN_FR_15K_V1,kg2.n_literals,28762.0,28762.0,0.0,True
EN_FR_15K_V1,kg1.n_rel_triples,47334.0,47334.0,0.0,True
EN_FR_15K_V1,kg2.n_rel_triples,40864.0,40864.0,0.0,True
EN_FR_15K_V1,kg1.n_attr_triples,57164.0,57164.0,0.0,True
EN_FR_15K_V1,kg2.n_attr_triples,54401.0,54401.0,0.0,True
EN_FR_15K_V1,kg1.attr_to_rel_ratio,1.207673131364347,1.207673131364347,0.0,True
EN_FR_15K_V1,kg2.attr_to_rel_ratio,1.3312695771339076,1.3312695771339076,0.0,True
EN_FR_15K_V1,alignments.n,15000.0,15000.0,0.0,True
EN_FR_15K_V1,kg1.total_degree.mean,6.3112,6.3112,0.0,True
EN_FR_15K_V1,kg2.total_degree.mean,5.448533333333334,5.448533333333334,0.0,True
EN_FR_15K_V1,kg1.total_degree.median,4.0,4.0,0.0,True
EN_FR_15K_V1,kg2.total_degree.median,3.0,3.0,0.0,True
EN_FR_15K_V1,kg1.total_degree.max,393.0,393.0,0.0,True
EN_FR_15K_V1,kg2.total_degree.max,424.0,424.0,0.0,True
EN_FR_15K_V1,kg1.total_degree.gini,0.5308509682962212,0.5308509682962212,0.0,True
EN_FR_15K_V1,kg2.total_degree.gini,0.510021370073088,0.510021370073088,0.0,True
EN_FR_15K_V1,kg1.share_isolated,0.0,0.0,0.0,True
EN_FR_15K_V1,kg2.share_isolated,0.0,0.0,0.0,True
EN_FR_15K_V1,kg1.rel.n_properties,267.0,267.0,0.0,True
EN_FR_15K_V1,kg2.rel.n_properties,210.0,210.0,0.0,True
EN_FR_15K_V1,kg1.rel.top10_concentration,0.5263235729074238,0.5263235729074238,0.0,True
