dataset,matcher,n_errors,n_unsolvable,unsolvable_share,method_share
D_W_15K_V1,paris,4046,617,0.1525,0.8475
D_W_15K_V1,pyjedai_ngram,8087,6482,0.8015,0.1985
D_W_15K_V1,structural_propagation,6558,714,0.1089,0.8911
D_W_15K_V1,value_overlap,7561,6638,0.8779,0.1221
D_Y_15K_V1,paris,1451,466,0.3212,0.6788
D_Y_15K_V1,pyjedai_ngram,7307,4709,0.6445,0.3555
D_Y_15K_V1,structural_propagation,6198,1523,0.2457,0.7543
D_Y_15K_V1,value_overlap,5625,4798,0.853,0.147
EN_DE_15K_V1,paris,1791,143,0.0798,0.9202
EN_DE_15K_V1,pyjedai_ngram,7350,3293,0.448,0.552
EN_DE_15K_V1,structural_propagation,5153,476,0.0924,0.9076
EN_DE_15K_V1,value_overlap,4889,3388,0.693,0.307
EN_FR_100K_V1,paris,27145,4129,0.1521,0.8479
EN_FR_100K_V1,structural_propagation,53585,5517,0.103,0.897
EN_FR_100K_V1,value_overlap,42141,29100,0.6905,0.3095
EN_FR_15K_V1,paris,3221,936,0.2906,0.7094
EN_FR_15K_V1,pyjedai_ngram,6446,3643,0.5652,0.4348
EN_FR_15K_V1,structural_propagation,7554,1311,0.1736,0.8264
EN_FR_15K_V1,value_overlap,5310,3754,0.707,0.293
EN_FR_15K_V2,paris,1798,30,0.0167,0.9833
EN_FR_15K_V2,pyjedai_ngram,5732,2326,0.4058,0.5942
EN_FR_15K_V2,structural_propagation,4861,82,0.0169,0.9831
EN_FR_15K_V2,value_overlap,4794,2398,0.5002,0.4998
