fold,dataset,matcher,precision,recall,f1,abstain_rate,n_false_on_unmatched,runtime_s
1,EN_FR_15K_V1,value_overlap,0.6465678335617292,0.4942857142857143,0.5602633993630917,0.23552380952380947,0,0.37824604200432077
1,EN_FR_15K_V1,pyjedai_ngram,0.5293119206162684,0.3860952380952381,0.44650035794922627,0.2705714285714286,0,71.54240641700744
1,EN_FR_15K_V1,structural_propagation,0.6390455531453362,0.2805714285714286,0.3899404367968233,0.560952380952381,0,5.529401749998215
1,EN_FR_15K_V1,paris,0.9687624617838628,0.6940952380952381,0.8087443821783277,0.2835238095238095,0,11.975954833993455
1,EN_FR_15K_V2,value_overlap,0.6319636726104774,0.5434285714285715,0.5843617184699678,0.14009523809523805,0,0.40880970800935756
1,EN_FR_15K_V2,pyjedai_ngram,0.5666072489601901,0.4540952380952381,0.5041501453872588,0.19857142857142862,0,100.80939287500223
1,EN_FR_15K_V2,structural_propagation,0.7876798435535689,0.537047619047619,0.6386545104479302,0.31819047619047625,0,9.882317958006752
1,EN_FR_15K_V2,paris,0.9675615212527964,0.8238095238095238,0.889917695473251,0.14857142857142858,0,11.505685500000254
1,EN_DE_15K_V1,value_overlap,0.7124174707973591,0.5343809523809524,0.6106878537222463,0.24990476190476185,0,0.5026749999960884
1,EN_DE_15K_V1,pyjedai_ngram,0.3902378592666006,0.3,0.33922033168210214,0.23123809523809524,0,234.07476750000205
1,EN_DE_15K_V1,structural_propagation,0.8529271016111023,0.5092380952380953,0.637724372353748,0.40295238095238095,0,6.4322363329993095
1,EN_DE_15K_V1,paris,0.9833973345380619,0.8292380952380952,0.8997623230339982,0.15676190476190477,0,11.451322332999553
1,D_W_15K_V1,value_overlap,0.6410032715376227,0.2799047619047619,0.3896586012595293,0.5633333333333334,0,0.577044207995641
1,D_W_15K_V1,pyjedai_ngram,0.5263961605584643,0.2298095238095238,0.31994166003712543,0.5634285714285714,0,62.61634779199085
1,D_W_15K_V1,structural_propagation,0.7324414715719063,0.37542857142857144,0.49641103135625236,0.48742857142857143,0,4.799899958001333
1,D_W_15K_V1,paris,0.9447754686818777,0.6191428571428571,0.748058224498015,0.3446666666666667,0,16.543226374997175
1,D_Y_15K_V1,value_overlap,0.8229237002025659,0.4642857142857143,0.5936434486117876,0.43580952380952376,0,0.5420233750046464
1,D_Y_15K_V1,pyjedai_ngram,0.7604191474160514,0.3040952380952381,0.4344513232192666,0.600095238095238,0,53.05647212501208
1,D_Y_15K_V1,structural_propagation,0.6429532207442834,0.4097142857142857,0.500494444767611,0.36276190476190473,0,3.6497959999978775
1,D_Y_15K_V1,paris,0.9849306157849089,0.8652380952380953,0.921212735753397,0.12152380952380948,0,7.572365583007922
2,EN_FR_15K_V1,value_overlap,0.6448121423239612,0.4936190476190476,0.5591757471140361,0.2344761904761905,0,0.4124058339948533
2,EN_FR_15K_V1,pyjedai_ngram,0.5261650611819838,0.38495238095238093,0.4446155538444615,0.2683809523809524,0,62.855895832995884
2,EN_FR_15K_V1,structural_propagation,0.6187727175539876,0.2756190476190476,0.3813665414772353,0.5545714285714285,0,5.919269375008298
2,EN_FR_15K_V1,paris,0.9701749734888653,0.697047619047619,0.8112391930835734,0.2815238095238095,0,10.05997883300006
2,EN_FR_15K_V2,value_overlap,0.6290929203539823,0.5416190476190477,0.582088024564995,0.1390476190476191,0,0.3596362090029288
2,EN_FR_15K_V2,pyjedai_ngram,0.5684996444655132,0.45685714285714285,0.5066004857957547,0.19638095238095243,0,101.17847041599452
2,EN_FR_15K_V2,structural_propagation,0.7724913494809689,0.5102857142857142,0.6145905024088093,0.3394285714285714,0,8.563378874998307
2,EN_FR_15K_V2,paris,0.9686940966010733,0.8251428571428572,0.8911746554206953,0.1481904761904762,0,12.295038958996884
2,EN_DE_15K_V1,value_overlap,0.7191413237924866,0.536,0.6142093200916731,0.2546666666666667,0,1.0866388750000624
2,EN_DE_15K_V1,pyjedai_ngram,0.3888957586249536,0.2995238095238095,0.33840856512616346,0.2298095238095238,0,246.84312687499914
2,EN_DE_15K_V1,structural_propagation,0.8478365000798339,0.5057142857142857,0.6335381494959136,0.4035238095238095,0,6.417339916006313
2,EN_DE_15K_V1,paris,0.9821165817770232,0.8263809523809523,0.8975433152314455,0.15857142857142859,0,14.020254709001165
