matcher,dataset,split,n_gold,n_unmatched,n_predicted,n_correct,n_false_on_unmatched,precision,recall,f1,hits_at_1,coverage,abstain_rate,runtime_s
value_overlap,EN_FR_15K_V1,test,10500,0,8027,5190,0,0.6465678335617292,0.4942857142857143,0.5602633993630917,0.4942857142857143,0.7644761904761905,0.23552380952380947,0.41013041699989117
pyjedai_ngram,EN_FR_15K_V1,test,10500,0,7659,4054,0,0.5293119206162684,0.3860952380952381,0.44650035794922627,0.3860952380952381,0.7294285714285714,0.2705714285714286,74.77280125000107
structural_propagation,EN_FR_15K_V1,test,10500,0,4610,2946,0,0.6390455531453362,0.2805714285714286,0.3899404367968233,0.2805714285714286,0.439047619047619,0.560952380952381,5.818604457999754
paris,EN_FR_15K_V1,test,10500,0,7529,7295,0,0.968920175322088,0.6947619047619048,0.809251761051639,0.6947619047619048,0.717047619047619,0.28295238095238096,10.048270666997269
value_overlap,EN_FR_15K_V2,test,10500,0,9029,5706,0,0.6319636726104774,0.5434285714285715,0.5843617184699678,0.5434285714285715,0.859904761904762,0.14009523809523805,0.36303162499825703
pyjedai_ngram,EN_FR_15K_V2,test,10500,0,8415,4768,0,0.5666072489601901,0.4540952380952381,0.5041501453872588,0.4540952380952381,0.8014285714285714,0.19857142857142862,100.91605912500017
structural_propagation,EN_FR_15K_V2,test,10500,0,7159,5639,0,0.7876798435535689,0.537047619047619,0.6386545104479302,0.537047619047619,0.6818095238095238,0.31819047619047625,9.798408541002573
paris,EN_FR_15K_V2,test,10500,0,8918,8659,0,0.9709576138147566,0.8246666666666667,0.8918529199711608,0.8246666666666667,0.8493333333333334,0.15066666666666662,10.551111708002281
value_overlap,EN_DE_15K_V1,test,10500,0,7876,5611,0,0.7124174707973591,0.5343809523809524,0.6106878537222463,0.5343809523809524,0.7500952380952381,0.24990476190476185,0.6370155830009026
pyjedai_ngram,EN_DE_15K_V1,test,10500,0,8072,3150,0,0.3902378592666006,0.3,0.33922033168210214,0.3,0.7687619047619048,0.23123809523809524,227.78189587499946
structural_propagation,EN_DE_15K_V1,test,10500,0,6269,5347,0,0.8529271016111023,0.5092380952380953,0.637724372353748,0.5092380952380953,0.597047619047619,0.40295238095238095,6.438562666000507
paris,EN_DE_15K_V1,test,10500,0,8864,8717,0,0.9834160649819494,0.8301904761904761,0.9003305102251601,0.8301904761904761,0.8441904761904762,0.15580952380952384,11.410393750000367
value_overlap,D_W_15K_V1,test,10500,0,4585,2939,0,0.6410032715376227,0.2799047619047619,0.3896586012595293,0.2799047619047619,0.43666666666666665,0.5633333333333334,0.5598847500004922
pyjedai_ngram,D_W_15K_V1,test,10500,0,4584,2414,0,0.5266143106457243,0.22990476190476192,0.3200742508618404,0.22990476190476192,0.43657142857142855,0.5634285714285714,62.33005816699733
structural_propagation,D_W_15K_V1,test,10500,0,5382,3942,0,0.7324414715719063,0.37542857142857144,0.49641103135625236,0.37542857142857144,0.5125714285714286,0.48742857142857143,4.529508625000744
paris,D_W_15K_V1,test,10500,0,6821,6446,0,0.9450227239407711,0.613904761904762,0.7442988280122396,0.613904761904762,0.6496190476190477,0.35038095238095235,15.258908499999961
value_overlap,D_Y_15K_V1,test,10500,0,5924,4875,0,0.8229237002025659,0.4642857142857143,0.5936434486117876,0.4642857142857143,0.5641904761904762,0.43580952380952376,0.5237604169997212
pyjedai_ngram,D_Y_15K_V1,test,10500,0,4199,3193,0,0.7604191474160514,0.3040952380952381,0.4344513232192666,0.3040952380952381,0.39990476190476193,0.600095238095238,49.923192959002336
structural_propagation,D_Y_15K_V1,test,10500,0,6691,4302,0,0.6429532207442834,0.4097142857142857,0.500494444767611,0.4097142857142857,0.6372380952380953,0.36276190476190473,3.4162893749999057
paris,D_Y_15K_V1,test,10500,0,9179,9046,0,0.9855104041834623,0.8615238095238095,0.9193556583159713,0.8615238095238095,0.8741904761904762,0.12580952380952382,7.0279978750004375
value_overlap,EN_FR_100K_V1,test,70000,0,54307,27859,0,0.5129909588082567,0.3979857142857143,0.4482289814732879,0.3979857142857143,0.7758142857142857,0.22418571428571432,5.073435957998299
structural_propagation,EN_FR_100K_V1,test,70000,0,27215,16415,0,0.6031600220466654,0.2345,0.3377050866635807,0.2345,0.3887857142857143,0.6112142857142857,115.72372591699968
paris,EN_FR_100K_V1,test,70000,0,45071,42748,0,0.9484590978678086,0.6106857142857143,0.7429847659271231,0.6106857142857143,0.6438714285714285,0.35612857142857146,76.57574504200238
