dataset,file,check,nt,turtle,n_objects,gueltiger_term,kein_gueltiger_term,leer,ill_typed,share_invalid_term
EN_FR_15K_V1,rel_triples_1,parse,ParserError,BadSyntax,,,,,,
EN_FR_15K_V1,rel_triples_2,parse,ParserError,BadSyntax,,,,,,
EN_FR_15K_V1,attr_triples_1,parse,ParserError,BadSyntax,,,,,,
EN_FR_15K_V1,attr_triples_2,parse,ParserError,BadSyntax,,,,,,
D_W_15K_V1,rel_triples_1,parse,ParserError,BadSyntax,,,,,,
D_W_15K_V1,rel_triples_2,parse,ParserError,BadSyntax,,,,,,
D_W_15K_V1,attr_triples_1,parse,ParserError,BadSyntax,,,,,,
D_W_15K_V1,attr_triples_2,parse,ParserError,BadSyntax,,,,,,
D_Y_15K_V1,rel_triples_1,parse,ParserError,BadSyntax,,,,,,
D_Y_15K_V1,rel_triples_2,parse,ParserError,BadSyntax,,,,,,
D_Y_15K_V1,attr_triples_1,parse,ParserError,BadSyntax,,,,,,
D_Y_15K_V1,attr_triples_2,parse,ParserError,BadSyntax,,,,,,
EN_FR_15K_V1,attr_triples_1,objects,,,57164.0,41828.0,15309.0,27.0,3.0,0.2678
EN_FR_15K_V1,attr_triples_2,objects,,,54401.0,30713.0,23688.0,0.0,4.0,0.4354
D_W_15K_V1,attr_triples_1,objects,,,52134.0,40079.0,12050.0,5.0,6.0,0.2311
D_W_15K_V1,attr_triples_2,objects,,,138246.0,65906.0,72340.0,0.0,9.0,0.5233
D_Y_15K_V1,attr_triples_1,objects,,,52093.0,39270.0,12816.0,7.0,3.0,0.246
D_Y_15K_V1,attr_triples_2,objects,,,117114.0,116289.0,825.0,0.0,4150.0,0.007
