dataset,stage,component,backend,runtime_s
EN_FR_15K_V1,metric,basic_stats,pandas,0.02980066699819872
EN_FR_15K_V1,metric,degree_distribution,pandas,0.029940624997834675
EN_FR_15K_V1,metric,property_distribution,pandas,0.008817957997962367
EN_FR_15K_V1,metric,connectivity,pandas,0.6663950420042966
EN_FR_15K_V1,metric,long_tail,pandas,0.012138749996665865
EN_FR_15K_V1,metric,attribute_completeness,pandas,0.07235612499789568
EN_FR_15K_V1,metric,type_distribution,pandas,0.0029074580015731044
EN_FR_15K_V1,metric,schema_heterogeneity,pandas,0.015543124995019753
EN_FR_15K_V1,metric,aligned_consistency,pandas,0.1324938750040019
EN_FR_15K_V1,metric,alignment_metrics,pandas,0.020569792002788745
EN_FR_15K_V1,metric,alignment_reachability,pandas,0.18042345799767645
EN_FR_15K_V1,matcher,value_overlap,pandas,0.5583863339998061
EN_FR_15K_V1,matcher,pyjedai_ngram,pandas,74.18760704099986
EN_FR_15K_V1,matcher,structural_propagation,pandas,5.730317500005185
EN_FR_15K_V1,matcher,paris,pandas,10.172276457997214
EN_FR_15K_V2,metric,basic_stats,pandas,0.032878874997550156
EN_FR_15K_V2,metric,degree_distribution,pandas,0.03811379100079648
EN_FR_15K_V2,metric,property_distribution,pandas,0.010166125000978354
EN_FR_15K_V2,metric,connectivity,pandas,0.47699454199755564
EN_FR_15K_V2,metric,long_tail,pandas,0.01023525000346126
EN_FR_15K_V2,metric,attribute_completeness,pandas,0.06700954100233503
EN_FR_15K_V2,metric,type_distribution,pandas,0.003476833000604529
EN_FR_15K_V2,metric,schema_heterogeneity,pandas,0.016550041000300553
EN_FR_15K_V2,metric,aligned_consistency,pandas,0.11353837500064401
EN_FR_15K_V2,metric,alignment_metrics,pandas,0.016933124999923166
EN_FR_15K_V2,metric,alignment_reachability,pandas,0.17906608300108928
EN_FR_15K_V2,matcher,value_overlap,pandas,0.3562042910052696
EN_FR_15K_V2,matcher,pyjedai_ngram,pandas,100.56907804200455
EN_FR_15K_V2,matcher,structural_propagation,pandas,10.147032250002667
EN_FR_15K_V2,matcher,paris,pandas,11.393075333005982
EN_DE_15K_V1,metric,basic_stats,pandas,0.0352299580044928
EN_DE_15K_V1,metric,degree_distribution,pandas,0.022475374993518926
EN_DE_15K_V1,metric,property_distribution,pandas,0.010293999999703374
EN_DE_15K_V1,metric,connectivity,pandas,0.20315637499879813
EN_DE_15K_V1,metric,long_tail,pandas,0.013756457999988925
EN_DE_15K_V1,metric,attribute_completeness,pandas,0.10686366599838948
EN_DE_15K_V1,metric,type_distribution,pandas,0.001765958993928507
EN_DE_15K_V1,metric,schema_heterogeneity,pandas,0.01666737499908777
EN_DE_15K_V1,metric,aligned_consistency,pandas,0.15314783299982082
EN_DE_15K_V1,metric,alignment_metrics,pandas,0.016873417000169866
EN_DE_15K_V1,metric,alignment_reachability,pandas,0.11161566599912476
EN_DE_15K_V1,matcher,value_overlap,pandas,0.5228065829942352
EN_DE_15K_V1,matcher,pyjedai_ngram,pandas,228.57681870899978
EN_DE_15K_V1,matcher,structural_propagation,pandas,6.553682584002672
EN_DE_15K_V1,matcher,paris,pandas,11.978431832998467
D_W_15K_V1,metric,basic_stats,pandas,0.03808483300235821
D_W_15K_V1,metric,degree_distribution,pandas,0.023719040997093543
D_W_15K_V1,metric,property_distribution,pandas,0.009577874996466562
D_W_15K_V1,metric,connectivity,pandas,0.5913428749990999
D_W_15K_V1,metric,long_tail,pandas,0.012793624999176245
D_W_15K_V1,metric,attribute_completeness,pandas,0.10342787499394035
D_W_15K_V1,metric,type_distribution,pandas,0.002993792004417628
D_W_15K_V1,metric,schema_heterogeneity,pandas,0.016406540999014396
D_W_15K_V1,metric,aligned_consistency,pandas,0.1702979170004255
D_W_15K_V1,metric,alignment_metrics,pandas,0.01722124999650987
D_W_15K_V1,metric,alignment_reachability,pandas,0.09855112499644747
D_W_15K_V1,matcher,value_overlap,pandas,0.559837291999429
D_W_15K_V1,matcher,pyjedai_ngram,pandas,61.79822058400168
D_W_15K_V1,matcher,structural_propagation,pandas,4.8910324170065
D_W_15K_V1,matcher,paris,pandas,14.926962083001854
D_Y_15K_V1,metric,basic_stats,pandas,0.031132583004364278
D_Y_15K_V1,metric,degree_distribution,pandas,0.02311054200254148
D_Y_15K_V1,metric,property_distribution,pandas,0.02672924999933457
D_Y_15K_V1,metric,connectivity,pandas,0.13762645899987547
D_Y_15K_V1,metric,long_tail,pandas,0.012809041996661108
D_Y_15K_V1,metric,attribute_completeness,pandas,0.07865079200564651
D_Y_15K_V1,metric,type_distribution,pandas,0.001527708001958672
D_Y_15K_V1,metric,schema_heterogeneity,pandas,0.01492158300243318
D_Y_15K_V1,metric,aligned_consistency,pandas,0.1644747919999645
D_Y_15K_V1,metric,alignment_metrics,pandas,0.01735933300369652
D_Y_15K_V1,metric,alignment_reachability,pandas,0.084912375001295
D_Y_15K_V1,matcher,value_overlap,pandas,0.5168545000051381
D_Y_15K_V1,matcher,pyjedai_ngram,pandas,50.0514147089998
D_Y_15K_V1,matcher,structural_propagation,pandas,3.7234059580005123
D_Y_15K_V1,matcher,paris,pandas,6.344458958999894
EN_FR_100K_V1,metric,basic_stats,pandas,0.193030959002499
