dataset,matcher,seed_fraction,n_seeds,seed_share_of_entities,precision,recall,f1,runtime_s
EN_FR_15K_V1,structural_propagation,0.05,150,0.01,0.009842859609739251,0.0054285714285714284,0.006997728807316923,0.43943583399959607
EN_FR_15K_V1,structural_propagation,0.1,300,0.02,0.021697950749095918,0.012,0.015453486232906115,0.5509651249994931
EN_FR_15K_V1,structural_propagation,0.25,750,0.05,0.16440157825515125,0.07142857142857142,0.09958836807860841,1.3669483340017905
EN_FR_15K_V1,structural_propagation,0.5,1500,0.1,0.41717503519474425,0.16933333333333334,0.24088876845955828,2.687928584000474
EN_FR_15K_V1,structural_propagation,0.75,2250,0.15,0.5412533814247069,0.22866666666666666,0.3215050883770755,3.6992636670001957
EN_FR_15K_V1,structural_propagation,1.0,3000,0.2,0.6390455531453362,0.2805714285714286,0.3899404367968233,5.6972582079979475
EN_FR_15K_V2,structural_propagation,0.05,150,0.01,0.01935788479697828,0.011714285714285714,0.014595941616233536,0.8858281669999997
EN_FR_15K_V2,structural_propagation,0.1,300,0.02,0.0790023686777205,0.054,0.06415115687050969,1.4564859589991102
EN_FR_15K_V2,structural_propagation,0.25,750,0.05,0.39467174119885823,0.19752380952380952,0.2632814979371628,3.0428480000009586
EN_FR_15K_V2,structural_propagation,0.5,1500,0.1,0.6723517446409013,0.40923809523809523,0.5087916641998698,5.111811624999973
EN_FR_15K_V2,structural_propagation,0.75,2250,0.15,0.7410029498525074,0.4784761904761905,0.5814814814814816,8.794042082998203
EN_FR_15K_V2,structural_propagation,1.0,3000,0.2,0.7876798435535689,0.537047619047619,0.6386545104479302,10.501661250000325
D_W_15K_V1,structural_propagation,0.05,150,0.01,0.011858324231549384,0.007238095238095238,0.008989295641374417,0.4133546249977371
D_W_15K_V1,structural_propagation,0.1,300,0.02,0.02582543314808761,0.015047619047619048,0.019015525333975207,0.5505619169998681
D_W_15K_V1,structural_propagation,0.25,750,0.05,0.126012601260126,0.06666666666666667,0.08720024914356897,0.9188754159986274
D_W_15K_V1,structural_propagation,0.5,1500,0.1,0.5011520737327189,0.24857142857142858,0.33231474407944994,2.157752333001554
D_W_15K_V1,structural_propagation,0.75,2250,0.15,0.621537332599523,0.32266666666666666,0.4248009529183123,2.962905166001292
D_W_15K_V1,structural_propagation,1.0,3000,0.2,0.7324414715719063,0.37542857142857144,0.49641103135625236,4.816211499997735
D_Y_15K_V1,structural_propagation,0.05,150,0.01,0.00860832137733142,0.0034285714285714284,0.004903964037597058,0.24099766600193107
D_Y_15K_V1,structural_propagation,0.1,300,0.02,0.011952998379254457,0.005619047619047619,0.007644467478621405,0.23055179199945997
D_Y_15K_V1,structural_propagation,0.25,750,0.05,0.13963355834136934,0.06895238095238095,0.09231750079693975,0.6259734160012158
D_Y_15K_V1,structural_propagation,0.5,1500,0.1,0.3989061982101425,0.22923809523809524,0.29115761461231404,1.458414291999361
D_Y_15K_V1,structural_propagation,0.75,2250,0.15,0.5539253941002029,0.338,0.4198261075294257,2.8099842920019
D_Y_15K_V1,structural_propagation,1.0,3000,0.2,0.6429532207442834,0.4097142857142857,0.500494444767611,3.547636292001698
