dataset,matcher,threshold,precision,recall,f1,coverage,abstain_rate,n_predicted,n_gold,n_false_on_unmatched
EN_FR_15K_V1_NM,value_overlap,0.0,0.4462616822429907,0.5093333333333333,0.47571606475716066,0.7677130044843049,0.2322869955156951,856,750,248
EN_FR_15K_V1_NM,value_overlap,0.1,0.4462616822429907,0.5093333333333333,0.47571606475716066,0.7677130044843049,0.2322869955156951,856,750,248
EN_FR_15K_V1_NM,value_overlap,0.2,0.4462616822429907,0.5093333333333333,0.47571606475716066,0.7677130044843049,0.2322869955156951,856,750,248
EN_FR_15K_V1_NM,value_overlap,0.3,0.4514218009478673,0.508,0.4780426599749059,0.7569506726457399,0.2430493273542601,844,750,244
EN_FR_15K_V1_NM,value_overlap,0.4,0.4684796044499382,0.5053333333333333,0.48620910840282233,0.7255605381165919,0.27443946188340806,809,750,223
EN_FR_15K_V1_NM,value_overlap,0.5,0.48622589531680444,0.4706666666666667,0.47831978319783197,0.6511210762331838,0.3488789237668162,726,750,182
EN_FR_15K_V1_NM,value_overlap,0.6,0.5008460236886633,0.39466666666666667,0.4414615958240119,0.5300448430493273,0.4699551569506727,591,750,139
EN_FR_15K_V1_NM,value_overlap,0.7,0.5508849557522124,0.332,0.41430948419301167,0.4053811659192825,0.5946188340807175,452,750,94
EN_FR_15K_V1_NM,value_overlap,0.8,0.5522388059701493,0.24666666666666667,0.3410138248847926,0.3004484304932735,0.6995515695067265,335,750,62
EN_FR_15K_V1_NM,value_overlap,0.9,0.44664031620553357,0.15066666666666667,0.22532402791625128,0.22690582959641256,0.7730941704035874,253,750,58
EN_FR_15K_V1_NM,structural_propagation,0.0,0.12647754137115838,0.14266666666666666,0.13408521303258147,0.758744394618834,0.24125560538116597,846,750,281
EN_FR_15K_V1_NM,structural_propagation,0.1,0.19576719576719576,0.09866666666666667,0.13120567375886524,0.33901345291479823,0.6609865470852018,378,750,133
EN_FR_15K_V1_NM,structural_propagation,0.2,0.21241830065359477,0.08666666666666667,0.12310606060606061,0.27443946188340806,0.7255605381165919,306,750,113
EN_FR_15K_V1_NM,structural_propagation,0.3,0.26200873362445415,0.08,0.12257405515832481,0.20538116591928252,0.7946188340807174,229,750,85
EN_FR_15K_V1_NM,structural_propagation,0.4,0.28191489361702127,0.07066666666666667,0.11300639658848616,0.16860986547085202,0.831390134529148,188,750,70
EN_FR_15K_V1_NM,structural_propagation,0.5,0.3037974683544304,0.064,0.10572687224669604,0.14170403587443947,0.8582959641255605,158,750,52
EN_FR_15K_V1_NM,structural_propagation,0.6,0.296875,0.050666666666666665,0.0865603644646925,0.1147982062780269,0.885201793721973,128,750,41
EN_FR_15K_V1_NM,structural_propagation,0.7,0.25,0.03333333333333333,0.058823529411764705,0.08968609865470852,0.9103139013452914,100,750,35
EN_FR_15K_V1_NM,structural_propagation,0.8,0.18518518518518517,0.02,0.036101083032490974,0.0726457399103139,0.9273542600896861,81,750,31
EN_FR_15K_V1_NM,structural_propagation,0.9,0.15873015873015872,0.013333333333333334,0.024600246002460028,0.05650224215246637,0.9434977578475336,63,750,24
EN_FR_15K_V1_NM,pyjedai_ngram,0.0,0.35131744040150564,0.37333333333333335,0.3619909502262444,0.7147982062780269,0.2852017937219731,797,750,230
EN_FR_15K_V1_NM,pyjedai_ngram,0.1,0.35131744040150564,0.37333333333333335,0.3619909502262444,0.7147982062780269,0.2852017937219731,797,750,230
EN_FR_15K_V1_NM,pyjedai_ngram,0.2,0.35131744040150564,0.37333333333333335,0.3619909502262444,0.7147982062780269,0.2852017937219731,797,750,230
EN_FR_15K_V1_NM,pyjedai_ngram,0.3,0.35443037974683544,0.37333333333333335,0.3636363636363636,0.7085201793721974,0.29147982062780264,790,750,228
EN_FR_15K_V1_NM,pyjedai_ngram,0.4,0.3902439024390244,0.3626666666666667,0.3759502418797512,0.6251121076233184,0.37488789237668163,697,750,187
EN_FR_15K_V1_NM,pyjedai_ngram,0.5,0.4375,0.308,0.3615023474178404,0.473542600896861,0.5264573991031389,528,750,126
EN_FR_15K_V1_NM,pyjedai_ngram,0.6,0.4878048780487805,0.21333333333333335,0.29684601113172543,0.29417040358744395,0.705829596412556,328,750,66
EN_FR_15K_V1_NM,pyjedai_ngram,0.7,0.7058823529411765,0.096,0.16901408450704228,0.09147982062780269,0.9085201793721973,102,750,8
EN_FR_15K_V1_NM,pyjedai_ngram,0.8,1.0,0.0013333333333333333,0.0026631158455392807,0.0008968609865470852,0.9991031390134529,1,750,0
EN_FR_15K_V1_NM,pyjedai_ngram,0.9,0.0,0.0,0.0,0.0,1.0,0,750,0
EN_FR_15K_V2_NM,value_overlap,0.0,0.4509594882729211,0.5610079575596817,0.5,0.8458070333633905,0.15419296663660953,938,754,270
EN_FR_15K_V2_NM,value_overlap,0.1,0.4509594882729211,0.5610079575596817,0.5,0.8458070333633905,0.15419296663660953,938,754,270
EN_FR_15K_V2_NM,value_overlap,0.2,0.45144076840981856,0.5610079575596817,0.5002956830277941,0.8449053201082056,0.15509467989179437,937,754,269
EN_FR_15K_V2_NM,value_overlap,0.3,0.45878524945770066,0.5610079575596817,0.5047732696897375,0.8313796212804329,0.16862037871956714,922,754,263
EN_FR_15K_V2_NM,value_overlap,0.4,0.47570621468926555,0.5583554376657824,0.5137278828553995,0.7980162308385933,0.2019837691614067,885,754,244
EN_FR_15K_V2_NM,value_overlap,0.5,0.5218508997429306,0.5384615384615384,0.5300261096605744,0.7015329125338142,0.2984670874661858,778,754,192
EN_FR_15K_V2_NM,value_overlap,0.6,0.5548686244204019,0.4761273209549072,0.5124910778015703,0.5834084761045988,0.4165915238954012,647,754,141
EN_FR_15K_V2_NM,value_overlap,0.7,0.6,0.38992042440318303,0.47266881028938906,0.4418394950405771,0.5581605049594229,490,754,93
EN_FR_15K_V2_NM,value_overlap,0.8,0.6676300578034682,0.3063660477453581,0.42000000000000004,0.31199278629395855,0.6880072137060415,346,754,49
EN_FR_15K_V2_NM,value_overlap,0.9,0.6240875912408759,0.22679045092838196,0.3326848249027237,0.24706943192064923,0.7529305680793508,274,754,43
EN_FR_15K_V2_NM,structural_propagation,0.0,0.18072289156626506,0.25862068965517243,0.21276595744680854,0.9729486023444545,0.02705139765554554,1079,754,344
EN_FR_15K_V2_NM,structural_propagation,0.1,0.3057553956834532,0.22546419098143236,0.2595419847328244,0.5013525698827773,0.4986474301172227,556,754,139
EN_FR_15K_V2_NM,structural_propagation,0.2,0.3563218390804598,0.20557029177718833,0.2607232968881413,0.39224526600541026,0.6077547339945897,435,754,104
EN_FR_15K_V2_NM,structural_propagation,0.3,0.40988372093023256,0.1870026525198939,0.2568306010928962,0.3101893597835888,0.6898106402164113,344,754,77
EN_FR_15K_V2_NM,structural_propagation,0.4,0.42696629213483145,0.15119363395225463,0.2233104799216454,0.24075743913435527,0.7592425608656448,267,754,61
EN_FR_15K_V2_NM,structural_propagation,0.5,0.45789473684210524,0.11538461538461539,0.1843220338983051,0.17132551848512173,0.8286744815148783,190,754,41
EN_FR_15K_V2_NM,structural_propagation,0.6,0.4609375,0.07824933687002653,0.13378684807256236,0.11541929666366095,0.8845807033363391,128,754,26
EN_FR_15K_V2_NM,structural_propagation,0.7,0.3974358974358974,0.04111405835543767,0.07451923076923077,0.0703336339044184,0.9296663660955816,78,754,18
EN_FR_15K_V2_NM,structural_propagation,0.8,0.21621621621621623,0.010610079575596816,0.0202275600505689,0.033363390441839495,0.9666366095581606,37,754,12
EN_FR_15K_V2_NM,structural_propagation,0.9,0.13043478260869565,0.003978779840848806,0.007722007722007722,0.020739404869251576,0.9792605951307485,23,754,9
EN_FR_15K_V2_NM,pyjedai_ngram,0.0,0.44730679156908665,0.506631299734748,0.4751243781094527,0.7700631199278629,0.22993688007213708,854,754,253
EN_FR_15K_V2_NM,pyjedai_ngram,0.1,0.44730679156908665,0.506631299734748,0.4751243781094527,0.7700631199278629,0.22993688007213708,854,754,253
EN_FR_15K_V2_NM,pyjedai_ngram,0.2,0.44730679156908665,0.506631299734748,0.4751243781094527,0.7700631199278629,0.22993688007213708,854,754,253
EN_FR_15K_V2_NM,pyjedai_ngram,0.3,0.45023696682464454,0.5039787798408488,0.4755944931163955,0.7610459873760145,0.23895401262398552,844,754,249
EN_FR_15K_V2_NM,pyjedai_ngram,0.4,0.4729559748427673,0.4986737400530504,0.48547449967721107,0.7168620378719567,0.2831379621280433,795,754,214
EN_FR_15K_V2_NM,pyjedai_ngram,0.5,0.5308641975308642,0.4562334217506631,0.4907275320970043,0.5843101893597836,0.4156898106402164,648,754,149
EN_FR_15K_V2_NM,pyjedai_ngram,0.6,0.6076759061833689,0.3779840848806366,0.4660670482420278,0.42290351668169524,0.5770964833183048,469,754,84
EN_FR_15K_V2_NM,pyjedai_ngram,0.7,0.9319727891156463,0.1816976127320955,0.30410654827968925,0.13255184851217314,0.8674481514878268,147,754,3
EN_FR_15K_V2_NM,pyjedai_ngram,0.8,1.0,0.005305039787798408,0.010554089709762531,0.0036068530207394047,0.9963931469792606,4,754,0
EN_FR_15K_V2_NM,pyjedai_ngram,0.9,0.0,0.0,0.0,0.0,1.0,0,754,0
