dataset,basic_stats.kg1.n_entities,basic_stats.pair.n_triples_total,basic_stats.kg1.attr_to_rel_ratio,basic_stats.kg2.attr_to_rel_ratio,degree_distribution.pair.mean_total_degree,degree_distribution.pair.min_median_total_degree,degree_distribution.pair.mean_degree_gini,degree_distribution.kg1.powerlaw_alpha,connectivity.pair.min_share_largest_cc,property_distribution.pair.mean_rel_entropy_norm,attribute_completeness.pair.min_share_entities_with_attribute,attribute_completeness.pair.mean_attr_per_entity,attribute_completeness.pair.mean_share_literals_text,schema_heterogeneity.property_jaccard,type_distribution.kg1.share_entities_typed,alignment_metrics.alignment_coverage,alignment_metrics.bijective_share,aligned_consistency.degree_spearman,aligned_consistency.literal_value_jaccard.mean,alignment_reachability.share_pairs_both_in_lcc
D_W_100K_V1,100000.0,1568469.0,1.1391918092452125,2.7327697172914647,5.45698,3.0,0.5193784101597166,1.496727220571152,0.88378,0.6486513317001352,0.91439,5.113855,0.3886731360494621,0.0,0.0,1.0,1.0,0.6808160026525653,0.0879833252497062,0.87273
D_W_100K_V2,100000.0,2443575.0,0.5851113702983338,1.4930542686793504,12.046600000000002,7.0,0.42131144909660034,1.3416354740385474,0.99977,0.6422887210728425,0.94036,6.194575,0.36256537143208817,0.0,0.0,1.0,1.0,0.531002103221753,0.0748308319403883,0.99969
D_W_15K_V1,15000.0,271391.0,1.3624460995687966,3.234127169793665,5.400733333333333,3.0,0.4942650666100157,1.5207644190163128,0.933,0.66487372237646,0.9188,6.346,0.3725847696740759,0.0,0.0,1.0,1.0,0.6721398681849289,0.06532091270684796,0.9163333333333333
D_W_15K_V2,15000.0,384412.0,0.6944568346782369,2.107431176153062,10.489866666666668,7.0,0.36540525391353007,1.3599145918819366,0.9910666666666667,0.6229897545495312,0.9587333333333333,7.5688,0.32992904214604557,0.0,0.0,1.0,1.0,0.5505635848530155,0.04642744010423623,0.9892
D_Y_100K_V1,100000.0,1704908.0,1.2251179517859327,1.622366535336739,6.9470600000000005,3.0,0.5630239481525289,1.5032376360602548,0.87803,0.48389921946134307,0.9439,5.05101,0.5059149906094813,0.0,0.0,1.0,1.0,0.7535986635998018,0.12728458104791723,0.87035
D_Y_100K_V2,100000.0,2571758.0,0.6500510799639925,0.8727511224884862,14.418119999999998,7.0,0.5127144294524313,1.3621827665031363,0.99987,0.4422132580428149,0.95359,5.64973,0.5162064759212621,0.0,0.0,1.0,1.0,0.608759009981514,0.13307861552526043,0.99978
D_Y_15K_V1,15000.0,226136.0,1.7197517414413521,4.396501238831744,3.7952666666666666,3.0,0.38402021971240496,1.5513987857108713,0.8381333333333333,0.6132481193929471,0.9348,5.640233333333333,0.522824343626609,0.0,0.0,1.0,1.0,0.6116022896789169,0.10809069435161721,0.828
D_Y_15K_V2,15000.0,294786.0,0.7287659962093942,1.9050516647531572,8.6022,6.0,0.286140460120188,1.3616863045262253,0.9867333333333334,0.4598371212036237,0.9729333333333333,5.5251,0.4734307816671619,0.0,0.0,1.0,1.0,0.8295576496388358,0.08682966750476943,0.9867333333333334
EN_DE_100K_V1,100000.0,1681472.0,1.2633207995014297,1.7434183916250297,6.71599,3.0,0.5904526188797915,1.499152787174315,0.97082,0.6129845321870104,0.83159,5.049365,0.20159414651215857,0.3801295896328294,0.0,1.0,1.0,0.7313106839824651,0.14014964595579874,0.96433
EN_DE_100K_V2,100000.0,2339193.0,0.6918732773519567,1.0429984350050445,12.519829999999999,8.0,0.48048104231680555,1.3539500030454468,0.99975,0.6278819102265416,0.79668,5.43605,0.20346297529591584,0.3780821917808219,0.0,1.0,1.0,0.6016516109568608,0.1151799105711029,0.99957
EN_DE_15K_V1,15000.0,294274.0,1.30889755852001,2.6532854677800035,6.539666666666667,4.0,0.5373814877009965,1.484574574166615,0.9509333333333333,0.5291590028928282,0.8398,6.5393,0.1785643769794517,0.41580756013745707,0.0,1.0,1.0,0.8600761594130669,0.11087425816119223,0.9452
EN_DE_15K_V2,15000.0,398325.0,0.7012266251900032,1.741460834268935,11.833266666666667,7.0,0.4537929346950633,1.3600595281742127,0.9978666666666667,0.5587791279547362,0.8348666666666666,7.3608666666666664,0.16788887601721025,0.35467980295566504,0.0,1.0,1.0,0.7477003709655545,0.08491833639855831,0.9976
EN_FR_100K_V1,100000.0,1292865.0,1.2410830504478259,1.3191822986236135,5.67892,3.0,0.5684096877186972,1.5161658945700651,0.92683,0.7123979400516767,0.8829,3.624865,0.3417626980677371,0.2616191904047976,0.0,1.0,1.0,0.6281531285776636,0.18876745564841824,0.91477
EN_FR_100K_V2,100000.0,1950211.0,0.609553440364855,0.6105691042428539,12.112929999999999,7.0,0.47804667202712114,1.3493445788975107,0.99955,0.6810006404696035,0.90512,3.69459,0.34847192466179033,0.2731914893617021,0.0,1.0,1.0,0.5519481956862057,0.2136996916631463,0.99939
EN_FR_15K_V1,15000.0,199763.0,1.207673131364347,1.3312695771339076,5.879866666666667,3.0,0.5204361691846546,1.4890651793860863,0.894,0.6922455359027933,0.8861333333333333,3.7188333333333334,0.3438444743653153,0.29302832244008714,0.0,1.0,1.0,0.775643685824286,0.22260338687172207,0.8638666666666667
EN_FR_15K_V2,15000.0,284940.0,0.5439897007828236,0.7004443778709806,11.762,7.0,0.4103428779303909,1.3406474720784378,0.9908666666666667,0.6109151658574103,0.9195333333333333,3.617,0.3239795664597075,0.30664395229982966,0.0,1.0,1.0,0.6191992089710026,0.26640622996764896,0.9892666666666666
