dataset,paris,structural_propagation,value_overlap
D_W_100K_V1,0.7078,0.4668,0.3477
D_W_100K_V2,0.8432,0.719,0.3241
D_W_15K_V1,0.7423,0.4964,0.3897
D_W_15K_V2,0.8791,0.7882,0.3493
D_Y_100K_V1,0.9199,0.6657,0.3513
D_Y_100K_V2,0.9737,0.8338,0.337
D_Y_15K_V1,0.9211,0.5005,0.5936
D_Y_15K_V2,0.9807,0.9495,0.5463
EN_DE_100K_V1,0.8563,0.4897,0.4561
EN_DE_100K_V2,0.8971,0.6556,0.3859
EN_DE_15K_V1,0.9005,0.6377,0.6107
EN_DE_15K_V2,0.9432,0.7288,0.5711
EN_FR_100K_V1,0.7452,0.3377,0.4482
EN_FR_100K_V2,0.8585,0.5484,0.4632
EN_FR_15K_V1,0.8095,0.3899,0.5603
EN_FR_15K_V2,0.8911,0.6387,0.5844
