dataset,stage,component,backend,runtime_s
D_W_100K_V1,metric,basic_stats,pandas,0.20044095799676143
D_W_100K_V1,metric,degree_distribution,pandas,0.2094230000002426
D_W_100K_V1,metric,property_distribution,pandas,0.045623332996910904
D_W_100K_V1,metric,connectivity,pandas,1.6185911670036148
D_W_100K_V1,metric,long_tail,pandas,0.1269472920030239
D_W_100K_V1,metric,attribute_completeness,pandas,0.6448099160043057
D_W_100K_V1,metric,type_distribution,pandas,0.01389750000089407
D_W_100K_V1,metric,schema_heterogeneity,pandas,0.10272533299576025
D_W_100K_V1,metric,aligned_consistency,pandas,0.39626366699667415
D_W_100K_V1,metric,alignment_metrics,pandas,0.1340150409960188
D_W_100K_V1,metric,alignment_reachability,pandas,1.7926015830016695
D_W_100K_V1,matcher,value_overlap,pandas,7.488237540994305
D_W_100K_V1,matcher,structural_propagation,pandas,108.18140033300006
D_W_100K_V1,matcher,paris,pandas,93.26334154200595
D_W_100K_V2,metric,basic_stats,pandas,0.27224745800049277
D_W_100K_V2,metric,degree_distribution,pandas,0.4225321670019184
D_W_100K_V2,metric,property_distribution,pandas,0.07719362500210991
D_W_100K_V2,metric,connectivity,pandas,10.049331166002958
D_W_100K_V2,metric,long_tail,pandas,0.18305895799858263
D_W_100K_V2,metric,attribute_completeness,pandas,0.8387529579995316
D_W_100K_V2,metric,type_distribution,pandas,0.03258595800434705
D_W_100K_V2,metric,schema_heterogeneity,pandas,0.13504104199819267
D_W_100K_V2,metric,aligned_consistency,pandas,0.4839762920018984
D_W_100K_V2,metric,alignment_metrics,pandas,0.1404304170064279
D_W_100K_V2,metric,alignment_reachability,pandas,6.448308667000674
D_W_100K_V2,matcher,value_overlap,pandas,9.065143375002663
D_W_100K_V2,matcher,structural_propagation,pandas,164.21893858299882
D_W_100K_V2,matcher,paris,pandas,212.63522541699786
D_W_15K_V1,metric,basic_stats,pandas,0.03309725000144681
D_W_15K_V1,metric,degree_distribution,pandas,0.025749166001332924
D_W_15K_V1,metric,property_distribution,pandas,0.03520970800309442
D_W_15K_V1,metric,connectivity,pandas,5.0793642080025165
D_W_15K_V1,metric,long_tail,pandas,0.012995457997021731
D_W_15K_V1,metric,attribute_completeness,pandas,0.1049026250038878
D_W_15K_V1,metric,type_distribution,pandas,0.0036702500001410954
D_W_15K_V1,metric,schema_heterogeneity,pandas,0.016195500000321772
D_W_15K_V1,metric,aligned_consistency,pandas,0.17861575000279117
D_W_15K_V1,metric,alignment_metrics,pandas,0.013413417000265326
D_W_15K_V1,metric,alignment_reachability,pandas,0.1033042499984731
D_W_15K_V1,matcher,value_overlap,pandas,0.56963687499956
D_W_15K_V1,matcher,structural_propagation,pandas,4.663156625007105
D_W_15K_V1,matcher,paris,pandas,11.601679749997857
D_W_15K_V2,metric,basic_stats,pandas,0.04221237499587005
D_W_15K_V2,metric,degree_distribution,pandas,0.029660584004886914
D_W_15K_V2,metric,property_distribution,pandas,0.012527915998362005
D_W_15K_V2,metric,connectivity,pandas,1.9240045409969753
D_W_15K_V2,metric,long_tail,pandas,0.013419875002000481
D_W_15K_V2,metric,attribute_completeness,pandas,0.1202354579945677
D_W_15K_V2,metric,type_distribution,pandas,0.005834499999764375
D_W_15K_V2,metric,schema_heterogeneity,pandas,0.019345499997143634
D_W_15K_V2,metric,aligned_consistency,pandas,0.1963996659978875
D_W_15K_V2,metric,alignment_metrics,pandas,0.013338875003682915
D_W_15K_V2,metric,alignment_reachability,pandas,0.16978608300269116
D_W_15K_V2,matcher,value_overlap,pandas,0.6584306670047226
D_W_15K_V2,matcher,structural_propagation,pandas,6.7782810839999
D_W_15K_V2,matcher,paris,pandas,13.828632874996401
D_Y_100K_V1,metric,basic_stats,pandas,0.2183353750006063
D_Y_100K_V1,metric,degree_distribution,pandas,0.16735191699990537
D_Y_100K_V1,metric,property_distribution,pandas,0.12340325000695884
D_Y_100K_V1,metric,connectivity,pandas,2.87187245899986
D_Y_100K_V1,metric,long_tail,pandas,0.13757387499936158
D_Y_100K_V1,metric,attribute_completeness,pandas,0.6057976249940111
D_Y_100K_V1,metric,type_distribution,pandas,0.015281459003745113
D_Y_100K_V1,metric,schema_heterogeneity,pandas,0.1079259580001235
D_Y_100K_V1,metric,aligned_consistency,pandas,0.47389112500241026
D_Y_100K_V1,metric,alignment_metrics,pandas,0.14799704199685948
D_Y_100K_V1,metric,alignment_reachability,pandas,1.9324784999989788
D_Y_100K_V1,matcher,value_overlap,pandas,8.542260458001692
D_Y_100K_V1,matcher,structural_propagation,pandas,73.76037774999713
D_Y_100K_V1,matcher,paris,pandas,56.78824399999576
D_Y_100K_V2,metric,basic_stats,pandas,0.25735004199668765
D_Y_100K_V2,metric,degree_distribution,pandas,0.2763267080008518
D_Y_100K_V2,metric,property_distribution,pandas,0.14847891699901083
D_Y_100K_V2,metric,connectivity,pandas,5.6209350420031114
