dataset,matcher,n_errors,n_unsolvable,unsolvable_share,method_share
D_W_15K_V1_NM,paris,3220,853,0.2649,0.7351
D_W_15K_V1_NM,pyjedai_ngram,4949,3269,0.6605,0.3395
D_W_15K_V1_NM,structural_propagation,5604,1160,0.207,0.793
D_W_15K_V1_NM,value_overlap,4735,3342,0.7058,0.2942
D_Y_15K_V1_NM,paris,2062,717,0.3477,0.6523
D_Y_15K_V1_NM,pyjedai_ngram,4082,2325,0.5696,0.4304
D_Y_15K_V1_NM,structural_propagation,5451,2027,0.3719,0.6281
D_Y_15K_V1_NM,value_overlap,3385,2368,0.6996,0.3004
EN_DE_15K_V1_NM,paris,1840,317,0.1723,0.8277
EN_DE_15K_V1_NM,pyjedai_ngram,5602,1662,0.2967,0.7033
EN_DE_15K_V1_NM,structural_propagation,5376,887,0.165,0.835
EN_DE_15K_V1_NM,value_overlap,3595,1709,0.4754,0.5246
EN_FR_100K_V1_NM,paris,20028,5465,0.2729,0.7271
EN_FR_100K_V1_NM,structural_propagation,36629,9593,0.2619,0.7381
EN_FR_100K_V1_NM,value_overlap,32237,14473,0.449,0.551
EN_FR_15K_V1_NM,paris,2542,825,0.3245,0.6755
EN_FR_15K_V1_NM,pyjedai_ngram,4891,1792,0.3664,0.6336
EN_FR_15K_V1_NM,structural_propagation,5502,1652,0.3003,0.6997
EN_FR_15K_V1_NM,value_overlap,4271,1843,0.4315,0.5685
EN_FR_15K_V2_NM,paris,2362,52,0.022,0.978
EN_FR_15K_V2_NM,pyjedai_ngram,4695,1179,0.2511,0.7489
EN_FR_15K_V2_NM,structural_propagation,5211,131,0.0251,0.9749
EN_FR_15K_V2_NM,value_overlap,4249,1208,0.2843,0.7157
