dataset,matcher,error_class,n,share
EN_FR_15K_V1_NM,value_overlap,correct,3576,0.4554833779136416
EN_FR_15K_V1_NM,value_overlap,false_on_unmatched,1612,0.20532416252706662
EN_FR_15K_V1_NM,value_overlap,no_signal,29,0.00369379696853904
EN_FR_15K_V1_NM,value_overlap,structurally_unreachable,0,0.0
EN_FR_15K_V1_NM,value_overlap,no_shared_literal,1851,0.2357661444401987
EN_FR_15K_V1_NM,value_overlap,abstained,146,0.018596357151955165
EN_FR_15K_V1_NM,value_overlap,wrong_candidate,637,0.08113616099859891
EN_FR_15K_V1_NM,pyjedai_ngram,correct,2960,0.37702203540950197
EN_FR_15K_V1_NM,pyjedai_ngram,false_on_unmatched,1691,0.215386574958604
EN_FR_15K_V1_NM,pyjedai_ngram,no_signal,29,0.00369379696853904
EN_FR_15K_V1_NM,pyjedai_ngram,structurally_unreachable,0,0.0
EN_FR_15K_V1_NM,pyjedai_ngram,no_shared_literal,1786,0.22748694433830086
EN_FR_15K_V1_NM,pyjedai_ngram,abstained,436,0.05553432683734556
EN_FR_15K_V1_NM,pyjedai_ngram,wrong_candidate,949,0.12087632148770858
EN_FR_15K_V1_NM,structural_propagation,correct,2367,0.3014902560183416
EN_FR_15K_V1_NM,structural_propagation,false_on_unmatched,825,0.10508215513947268
EN_FR_15K_V1_NM,structural_propagation,no_signal,29,0.00369379696853904
EN_FR_15K_V1_NM,structural_propagation,structurally_unreachable,1625,0.2069800025474462
EN_FR_15K_V1_NM,structural_propagation,no_shared_literal,0,0.0
EN_FR_15K_V1_NM,structural_propagation,abstained,1997,0.25436250159215384
EN_FR_15K_V1_NM,structural_propagation,wrong_candidate,1008,0.12839128773404662
EN_FR_15K_V1_NM,paris,correct,5320,0.6776206852630238
EN_FR_15K_V1_NM,paris,false_on_unmatched,502,0.06394089924850338
EN_FR_15K_V1_NM,paris,no_signal,29,0.00369379696853904
EN_FR_15K_V1_NM,paris,structurally_unreachable,807,0.10278945357279327
EN_FR_15K_V1_NM,paris,no_shared_literal,0,0.0
EN_FR_15K_V1_NM,paris,abstained,996,0.126862820022927
EN_FR_15K_V1_NM,paris,wrong_candidate,197,0.025092344924213476
EN_FR_15K_V2_NM,value_overlap,correct,3666,0.4669468857470386
EN_FR_15K_V2_NM,value_overlap,false_on_unmatched,1846,0.23512928289389887
EN_FR_15K_V2_NM,value_overlap,no_signal,0,0.0
EN_FR_15K_V2_NM,value_overlap,structurally_unreachable,0,0.0
EN_FR_15K_V2_NM,value_overlap,no_shared_literal,1211,0.1542478665138199
EN_FR_15K_V2_NM,value_overlap,abstained,227,0.02891351420201248
EN_FR_15K_V2_NM,value_overlap,wrong_candidate,901,0.11476245064323017
EN_FR_15K_V2_NM,pyjedai_ngram,correct,3144,0.4004585403133359
EN_FR_15K_V2_NM,pyjedai_ngram,false_on_unmatched,1804,0.22977964590498026
EN_FR_15K_V2_NM,pyjedai_ngram,no_signal,0,0.0
EN_FR_15K_V2_NM,pyjedai_ngram,structurally_unreachable,0,0.0
EN_FR_15K_V2_NM,pyjedai_ngram,no_shared_literal,1185,0.15093618647306076
EN_FR_15K_V2_NM,pyjedai_ngram,abstained,496,0.06317666539294357
EN_FR_15K_V2_NM,pyjedai_ngram,wrong_candidate,1222,0.15564896191567953
EN_FR_15K_V2_NM,structural_propagation,correct,2629,0.33486180104445296
EN_FR_15K_V2_NM,structural_propagation,false_on_unmatched,1140,0.14520443255636226
