matcher,dataset,split,n_gold,n_unmatched,n_predicted,n_correct,n_false_on_unmatched,precision,recall,f1,hits_at_1,coverage,abstain_rate,runtime_s
value_overlap,EN_FR_15K_V1_NM,test,5247,2637,5713,2665,1689,0.46647995799054787,0.5079092814941871,0.48631386861313863,0.5079092814941871,0.7246321664129883,0.27536783358701167,0.3278511249955045
pyjedai_ngram,EN_FR_15K_V1_NM,test,5247,2637,5575,2034,1678,0.3648430493273543,0.3876500857632933,0.37590094252448714,0.3876500857632933,0.7071283612379503,0.2928716387620497,48.12270312500186
structural_propagation,EN_FR_15K_V1_NM,test,5247,2637,2727,604,859,0.2214888155482215,0.11511339813226605,0.15149235013794835,0.11511339813226605,0.3458904109589041,0.654109589041096,1.5335878749901894
paris,EN_FR_15K_V1_NM,test,5247,2637,3995,3229,524,0.8082603254067584,0.6153992757766342,0.6987665007574118,0.6153992757766342,0.5067224759005581,0.4932775240994419,7.74547037499724
value_overlap,EN_FR_15K_V2_NM,test,5252,2628,6369,2881,1878,0.45234730726958705,0.5485529322162985,0.49582652095344637,0.5485529322162985,0.808248730964467,0.19175126903553297,0.2528097079921281
pyjedai_ngram,EN_FR_15K_V2_NM,test,5252,2628,6130,2398,1841,0.39119086460032626,0.4565879664889566,0.4213670708135653,0.4565879664889566,0.7779187817258884,0.22208121827411165,63.53473312500864
structural_propagation,EN_FR_15K_V2_NM,test,5252,2628,3738,1136,1095,0.30390583199571963,0.2162985529322163,0.2527252502780868,0.2162985529322163,0.47436548223350256,0.5256345177664974,3.0425518749980256
paris,EN_FR_15K_V2_NM,test,5252,2628,4813,3646,756,0.7575316850197382,0.6942117288651942,0.7244908097367113,0.6942117288651942,0.6107868020304569,0.3892131979695431,8.782222125009866
value_overlap,EN_DE_15K_V1_NM,test,5262,2605,5077,2838,1171,0.5589915304313571,0.5393386545039909,0.5489892639520263,0.5393386545039909,0.6453540104232871,0.3546459895767129,0.4119811670097988
pyjedai_ngram,EN_DE_15K_V1_NM,test,5262,2605,5975,1539,1879,0.25757322175732217,0.29247434435575825,0.27391652576310405,0.29247434435575825,0.7595017160289819,0.24049828397101813,137.82587254198734
structural_propagation,EN_DE_15K_V1_NM,test,5262,2605,3272,884,998,0.2701711491442543,0.16799695933105283,0.20717131474103587,0.16799695933105283,0.4159145798906826,0.5840854201093174,1.5436035830061883
paris,EN_DE_15K_V1_NM,test,5262,2605,4530,3911,489,0.863355408388521,0.7432535157734702,0.7988153594771242,0.7432535157734702,0.5758230583449854,0.4241769416550146,9.061244708995218
value_overlap,D_W_15K_V1_NM,test,5290,2625,3273,1514,959,0.46257256339749464,0.2862003780718336,0.353614387481023,0.2862003780718336,0.413518635502211,0.586481364497789,0.41174687500461005
pyjedai_ngram,D_W_15K_V1_NM,test,5290,2625,3166,1212,871,0.3828174352495262,0.22911153119092628,0.28666035950804164,0.22911153119092628,0.4,0.6,37.23581870899943
structural_propagation,D_W_15K_V1_NM,test,5290,2625,3155,691,1005,0.2190174326465927,0.13062381852551985,0.16364712847838958,0.13062381852551985,0.3986102337334176,0.6013897662665824,1.459836833004374
paris,D_W_15K_V1_NM,test,5290,2625,3133,2450,380,0.7819980849026492,0.46313799621928164,0.5817404725157307,0.46313799621928164,0.3958307012002527,0.6041692987997473,13.771711000008509
value_overlap,D_Y_15K_V1_NM,test,5263,2616,3596,2484,606,0.6907675194660734,0.47197415922477676,0.5607856417202844,0.47197415922477676,0.4564030968397005,0.5435969031602995,0.45718987500004005
pyjedai_ngram,D_Y_15K_V1_NM,test,5263,2616,2535,1605,424,0.6331360946745562,0.30495914877446323,0.4116440112849448,0.30495914877446323,0.3217413377332149,0.6782586622667851,34.763100458003464
structural_propagation,D_Y_15K_V1_NM,test,5263,2616,3083,756,944,0.2452156989944859,0.14364430932927988,0.1811646297627606,0.14364430932927988,0.39129331133392564,0.6087066886660744,1.0405768329947023
paris,D_Y_15K_V1_NM,test,5263,2616,4281,3632,431,0.848399906563887,0.6901007030210906,0.7611064543168482,0.6901007030210906,0.543343063840589,0.45665693615941105,5.4592037920083385
value_overlap,EN_FR_100K_V1_NM,test,35011,17468,38500,14178,11404,0.3682597402597403,0.40495844163262973,0.3857381888424862,0.40495844163262973,0.7336267840469521,0.26637321595304786,4.190382041997509
structural_propagation,EN_FR_100K_V1_NM,test,35011,17468,16673,3473,5091,0.20830084567864213,0.09919739510439576,0.1343936227846142,0.09919739510439576,0.31770803559519045,0.6822919644048095,57.746290499999304
paris,EN_FR_100K_V1_NM,test,35011,17468,23327,18094,3111,0.7756676812277619,0.5168090028848076,0.6203160889985944,0.5168090028848076,0.44450161016787665,0.5554983898321233,88.94672429199272
