dataset,stage,component,backend,runtime_s
EN_FR_15K_V1_NM,metric,basic_stats,pandas,0.0171326669951668
EN_FR_15K_V1_NM,metric,degree_distribution,pandas,0.018895583008998074
EN_FR_15K_V1_NM,metric,property_distribution,pandas,0.006460500007960945
EN_FR_15K_V1_NM,metric,connectivity,pandas,0.24572920800710563
EN_FR_15K_V1_NM,metric,long_tail,pandas,0.008434874995145947
EN_FR_15K_V1_NM,metric,attribute_completeness,pandas,0.05241295900486875
EN_FR_15K_V1_NM,metric,type_distribution,pandas,0.0015922919992590323
EN_FR_15K_V1_NM,metric,schema_heterogeneity,pandas,0.01042112499999348
EN_FR_15K_V1_NM,metric,aligned_consistency,pandas,0.10228195899981074
EN_FR_15K_V1_NM,metric,alignment_metrics,pandas,0.01061854200088419
EN_FR_15K_V1_NM,metric,alignment_reachability,pandas,0.06791066599544138
EN_FR_15K_V1_NM,matcher,value_overlap,pandas,0.3278511249955045
EN_FR_15K_V1_NM,matcher,pyjedai_ngram,pandas,48.12270312500186
EN_FR_15K_V1_NM,matcher,structural_propagation,pandas,1.5335878749901894
EN_FR_15K_V1_NM,matcher,paris,pandas,7.74547037499724
EN_FR_15K_V2_NM,metric,basic_stats,pandas,0.018628332996740937
EN_FR_15K_V2_NM,metric,degree_distribution,pandas,0.024914458001148887
EN_FR_15K_V2_NM,metric,property_distribution,pandas,0.0071667919983156025
EN_FR_15K_V2_NM,metric,connectivity,pandas,0.2759234160039341
EN_FR_15K_V2_NM,metric,long_tail,pandas,0.008206999991671182
EN_FR_15K_V2_NM,metric,attribute_completeness,pandas,0.050266624995856546
EN_FR_15K_V2_NM,metric,type_distribution,pandas,0.002351875009480864
EN_FR_15K_V2_NM,metric,schema_heterogeneity,pandas,0.011721959002898075
EN_FR_15K_V2_NM,metric,aligned_consistency,pandas,0.10227804099849891
EN_FR_15K_V2_NM,metric,alignment_metrics,pandas,0.010680916006094776
EN_FR_15K_V2_NM,metric,alignment_reachability,pandas,0.09595116699347273
EN_FR_15K_V2_NM,matcher,value_overlap,pandas,0.2528097079921281
EN_FR_15K_V2_NM,matcher,pyjedai_ngram,pandas,63.53473312500864
EN_FR_15K_V2_NM,matcher,structural_propagation,pandas,3.0425518749980256
EN_FR_15K_V2_NM,matcher,paris,pandas,8.782222125009866
EN_DE_15K_V1_NM,metric,basic_stats,pandas,0.025776125010452233
EN_DE_15K_V1_NM,metric,degree_distribution,pandas,0.022092291008448228
EN_DE_15K_V1_NM,metric,property_distribution,pandas,0.008153208997100592
EN_DE_15K_V1_NM,metric,connectivity,pandas,0.13700762498774566
EN_DE_15K_V1_NM,metric,long_tail,pandas,0.010055042002932169
EN_DE_15K_V1_NM,metric,attribute_completeness,pandas,0.08298091700999066
EN_DE_15K_V1_NM,metric,type_distribution,pandas,0.001508957997430116
EN_DE_15K_V1_NM,metric,schema_heterogeneity,pandas,0.012695958008407615
EN_DE_15K_V1_NM,metric,aligned_consistency,pandas,0.17073554199305363
EN_DE_15K_V1_NM,metric,alignment_metrics,pandas,0.011152624996611848
EN_DE_15K_V1_NM,metric,alignment_reachability,pandas,0.07176579200313427
EN_DE_15K_V1_NM,matcher,value_overlap,pandas,0.4119811670097988
EN_DE_15K_V1_NM,matcher,pyjedai_ngram,pandas,137.82587254198734
EN_DE_15K_V1_NM,matcher,structural_propagation,pandas,1.5436035830061883
EN_DE_15K_V1_NM,matcher,paris,pandas,9.061244708995218
D_W_15K_V1_NM,metric,basic_stats,pandas,0.04053629199916031
D_W_15K_V1_NM,metric,degree_distribution,pandas,0.0247033339983318
D_W_15K_V1_NM,metric,property_distribution,pandas,0.010330583987524733
D_W_15K_V1_NM,metric,connectivity,pandas,0.14744124999560881
D_W_15K_V1_NM,metric,long_tail,pandas,0.010694374999729916
D_W_15K_V1_NM,metric,attribute_completeness,pandas,0.09111262499936856
D_W_15K_V1_NM,metric,type_distribution,pandas,0.001905500001157634
D_W_15K_V1_NM,metric,schema_heterogeneity,pandas,0.012443665997125208
D_W_15K_V1_NM,metric,aligned_consistency,pandas,0.18594979199406225
D_W_15K_V1_NM,metric,alignment_metrics,pandas,0.011276250006631017
D_W_15K_V1_NM,metric,alignment_reachability,pandas,0.07034808299795259
D_W_15K_V1_NM,matcher,value_overlap,pandas,0.41174687500461005
D_W_15K_V1_NM,matcher,pyjedai_ngram,pandas,37.23581870899943
D_W_15K_V1_NM,matcher,structural_propagation,pandas,1.459836833004374
D_W_15K_V1_NM,matcher,paris,pandas,13.771711000008509
D_Y_15K_V1_NM,metric,basic_stats,pandas,0.02351733300019987
D_Y_15K_V1_NM,metric,degree_distribution,pandas,0.020115999999688938
D_Y_15K_V1_NM,metric,property_distribution,pandas,0.03741708399320487
D_Y_15K_V1_NM,metric,connectivity,pandas,0.7752232920029201
D_Y_15K_V1_NM,metric,long_tail,pandas,0.012242041004355997
D_Y_15K_V1_NM,metric,attribute_completeness,pandas,0.06948499999998603
D_Y_15K_V1_NM,metric,type_distribution,pandas,0.0014118340041022748
D_Y_15K_V1_NM,metric,schema_heterogeneity,pandas,0.012454292009351775
D_Y_15K_V1_NM,metric,aligned_consistency,pandas,0.18494529099552892
D_Y_15K_V1_NM,metric,alignment_metrics,pandas,0.01155691700114403
D_Y_15K_V1_NM,metric,alignment_reachability,pandas,0.06141166700399481
D_Y_15K_V1_NM,matcher,value_overlap,pandas,0.45718987500004005
D_Y_15K_V1_NM,matcher,pyjedai_ngram,pandas,34.763100458003464
D_Y_15K_V1_NM,matcher,structural_propagation,pandas,1.0405768329947023
D_Y_15K_V1_NM,matcher,paris,pandas,5.4592037920083385
EN_FR_100K_V1_NM,metric,basic_stats,pandas,0.1774573330039857
EN_FR_100K_V1_NM,metric,degree_distribution,pandas,0.20932995800103527
EN_FR_100K_V1_NM,metric,property_distribution,pandas,0.07722424999519717
EN_FR_100K_V1_NM,metric,connectivity,pandas,1.7853670839976985
EN_FR_100K_V1_NM,metric,long_tail,pandas,0.1320379579992732
EN_FR_100K_V1_NM,metric,attribute_completeness,pandas,0.4686273749975953
EN_FR_100K_V1_NM,metric,type_distribution,pandas,0.0077560420031659305
EN_FR_100K_V1_NM,metric,schema_heterogeneity,pandas,0.07307208298880141
EN_FR_100K_V1_NM,metric,aligned_consistency,pandas,0.299758583001676
EN_FR_100K_V1_NM,metric,alignment_metrics,pandas,0.16085820901207626
EN_FR_100K_V1_NM,metric,alignment_reachability,pandas,1.5088601659954293
EN_FR_100K_V1_NM,matcher,value_overlap,pandas,4.190382041997509
EN_FR_100K_V1_NM,matcher,structural_propagation,pandas,57.746290499999304
EN_FR_100K_V1_NM,matcher,paris,pandas,88.94672429199272
